id,question,content,category,source
624,ОТКЛИК В МОЯ КАРЬЕРА,"Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
625,нет доступа к программе моя карьера,"Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
626,не активна кнопка кадровый резерв,"Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
627,"прошу вас открыть доступ к ""Моей карьере""","Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
628,Сотрудник не может откликнутся в разделе моя карьера,"Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
629,надбавки,"Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
630,назначить участи в моя карьера,"Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
631,кадровый резерв,"Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
632,КУРСЫ,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",моя карьера,faq
633,"нет доступа к программе ""Моя карьера""","Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
634,Не активна кнопка в моей корьере,"Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
635,Нет приглашения в кадровый резерв у сотрудника,"Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
636,"прошу уточнить информацию по сотруднику. В кадровом резерве находится в статусе уволен, хотя является действующим сотрудником магазина. Сотруднику нет возможности принять участие в программе кадровый резерв ПК - АДМ.","По данному вопросу Вы можете обратиться в кадровую службу, создав заявку ""Консультация по HR вопросам""",ЛК,faq
637,сотрудник хочет откликнуться на вышестоящую должность,"Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
638,Не получаю надбавку,"Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
639,у сотрудника не работает моя карьера,"Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
640,Откликнуться в кадровый резерв,"Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
641,Откликнуться в кадровый резерв,"Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
642,Не доступен раздел карьера,"Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
643,Сотрудник ПК ошибочно нажала на кнопку самоотказа в программе Кадорового резерва. Прошу вернуть ей возможность участия в кадровый резерв.,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",моя карьера,faq
644,Открытие моей карьеры,"Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
645,"Обучение по программе ""Моя карьера""","Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
646,у сотрудника нет возможности отжать кнопку в кадровый резерв,"Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
647,присвоить квалификацию,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",моя карьера,faq
648,"повторный прием, отсутствует доступ к кнопке Моя карьера. Сотрудник хочет откликнуться в кадровый резерв и пройти воронку ПК-АДМ","Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
649,Добрый день. Вкладки моя карьера в личном кабинете не активны. Хотел переводиться из пк в адм стажеры.,"Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
650,Не могу зайти на учебный портал для прохождения курсов,"Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
651,В личном кабинете отсутствует моя карьера.хочу учиться но подать заявку на обучение не могу,"Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
652,"В сервисе ""Моя карьера"" выходит ошибка","Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
653,"Работаю а компании с 2017 года,в в феврале уволилась по собственному желанию с должности директора магазина,вернулась в компанию, доступа к моей карьере отсутствует,прошу открыть доступ ,моего стажа достаточно","Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
654,нет доступа в моя карьера,"Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
655,Сотруднику не открывается доступ к моя карьера,"Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
656,Недоступен моя карьера,"Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
657,Моя карьера у сотрудника не доступна так как сотрудник увольнялся ранее из компании,"Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
658,сотрудник не может начать обучение в моя карьера,"Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
659,"Сотруднику необходимо назначить обучение Кадровый резерв на позицию ""Директор магазина""","Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
660,у сотрудника не показывает мою карьеру,"Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
661,моя карьера не активна,"Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
662,"Сотрудник в должности ПК, не может сделать отклик в личном кабинете на кадровый резерв АДМ. Нет кнопки откликнуться. Ранее сотрудник откликался на АДМ в предыдущее трудоустройство. Сотрудник трудоустроен с 30.08.23г.","Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
663,"Устроилась повторно на работу в разделе моя карьера ""Кадровый резерв на позицию «Администратор магазина»"" до сих пор не высветилось возможность для обучения .","Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
664,не открываается моя карьера у сотрудника,"Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
665,У сотрудника нет в личном кабинете кнопки на отклик моя карьера,"Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
666,"Я обучаюсь на АДМ и мне назначен данный тест,но данный тест не возможно пройти.","Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
667,Нет возможности откликнуться на должность администратора,"Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
668,обучение,"Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
669,"Нужно, что бы вкладки в моей карьере стали активны, для прохождения тестов","Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
670,сотрудник закрыт доступ в мою карьеру можно узнать причину,"Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
671,"нет возможности сделать отклик ""моя карьера""","Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
672,не активна кнопка моя карьера,"Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",моя карьера,faq
673,Где можно найти информацию о своих действующих МЧД (машиночитаемых доверенностях)?,"Информацию о своих действующих МЧД (машиночитаемых доверенностях) можно найти в Личном кабинете https://company-x5.ru/ - Раздел «Доверенности». Данный раздел можно найти в правом верхнем углу, в выпадающем списке под своими ФИО. Инструкция доступна по ссылке https://company-x5.ru/cms/UC9",МЧД,faq
674,виды налоговых вычетов,"Налоговый вычет на детей, Имущественный вычет (в том числе по уплаченным процентам), Налоговый вычет на обучение ребенка, Налоговый вычет на собственное обучение, Налоговый вычет на обучение брата/сестры, Налоговый вычет на себя по платежам на страхование жизни, негосударственное пенсионное страхование, добровольное медицинское страхование, Налоговый вычет на себя, на лечение, в том числе дорогостоящее, лекарства, Налоговый вычет на себя, на иные суммы, уменьшающие налогооблагаемую базу, Налоговый вычет на себя при наличии инвалидности, для ветеранов войны, чернобыльцев, Героев РФ",налоговый вычет,faq
675,какие бывают налоговые вычеты,"Налоговый вычет на детей, Имущественный вычет (в том числе по уплаченным процентам), Налоговый вычет на обучение ребенка, Налоговый вычет на собственное обучение, Налоговый вычет на обучение брата/сестры, Налоговый вычет на себя по платежам на страхование жизни, негосударственное пенсионное страхование, добровольное медицинское страхование, Налоговый вычет на себя, на лечение, в том числе дорогостоящее, лекарства, Налоговый вычет на себя, на иные суммы, уменьшающие налогооблагаемую базу, Налоговый вычет на себя при наличии инвалидности, для ветеранов войны, чернобыльцев, Героев РФ",налоговый вычет,faq
676,какие виды вычетов есть?,"Налоговый вычет на детей, Имущественный вычет (в том числе по уплаченным процентам), Налоговый вычет на обучение ребенка, Налоговый вычет на собственное обучение, Налоговый вычет на обучение брата/сестры, Налоговый вычет на себя по платежам на страхование жизни, негосударственное пенсионное страхование, добровольное медицинское страхование, Налоговый вычет на себя, на лечение, в том числе дорогостоящее, лекарства, Налоговый вычет на себя, на иные суммы, уменьшающие налогооблагаемую базу, Налоговый вычет на себя при наличии инвалидности, для ветеранов войны, чернобыльцев, Героев РФ",налоговый вычет,faq
677,мне нужно получить вычет,"Для получения вычета создайте, пожалуйста, заявку в разделе ""Заявки"" по теме ""Льготы, выплаты, материальная помощь"", подтема ""Налоговые вычеты"".",налоговый вычет,faq
678,"хочу получить налоговый вычет, как это сделать?","Для получения вычета создайте, пожалуйста, заявку в разделе ""Заявки"" по теме ""Льготы, выплаты, материальная помощь"", подтема ""Налоговые вычеты"".",налоговый вычет,faq
679,налоговый вычет,"Для получения вычета создайте, пожалуйста, заявку в разделе ""Заявки"" по теме ""Льготы, выплаты, материальная помощь"", подтема ""Налоговые вычеты"".",налоговый вычет,faq
680,как получить налоговый вычет?,"Для получения вычета создайте, пожалуйста, заявку в разделе ""Заявки"" по теме ""Льготы, выплаты, материальная помощь"", подтема ""Налоговые вычеты"".",налоговый вычет,faq
681,Как создать заявку на налоговый вычет?,"Для получения вычета создайте, пожалуйста, заявку в разделе ""Заявки"" по теме ""Льготы, выплаты, материальная помощь"", подтема ""Налоговые вычеты"".",налоговый вычет,faq
682,создать налоговый вычет,"Для получения вычета создайте, пожалуйста, заявку в разделе ""Заявки"" по теме ""Льготы, выплаты, материальная помощь"", подтема ""Налоговые вычеты"".",налоговый вычет,faq
683,налоговый вычет дети,Дети — инвалиды до 18 лет -12000 рублей для родителей. Дети — инвалиды до 18 лет -6000 для опекунов и попечителей. На первого ребенка 1400 руб./месяц. На второго ребенка 1400 руб./месяц (суммируется =2800). На третьего и последующего ребенка 3000 руб./месяц (суммируется =5800).,налоговый вычет,faq
684,Какой размер налогового вычета на детей?,Дети — инвалиды до 18 лет -12000 рублей для родителей. Дети — инвалиды до 18 лет -6000 для опекунов и попечителей. На первого ребенка 1400 руб./месяц. На второго ребенка 1400 руб./месяц (суммируется =2800). На третьего и последующего ребенка 3000 руб./месяц (суммируется =5800).,налоговый вычет,faq
685,какая сумма вычета на детей?,Дети — инвалиды до 18 лет -12000 рублей для родителей. Дети — инвалиды до 18 лет -6000 для опекунов и попечителей. На первого ребенка 1400 руб./месяц. На второго ребенка 1400 руб./месяц (суммируется =2800). На третьего и последующего ребенка 3000 руб./месяц (суммируется =5800).,налоговый вычет,faq
686,"В личный кабинет не отображается задача на подписание отгула, сотруднику",После описанных выше действий просьба повторить запрос и уточнить актуальность заявки.,отгул,faq
687,Как оплачивается отгул?,"В соответствии с ч. 4 ст. 153 трудовой договор РФ по желанию сотрудника, который работал в выходной (нерабочий праздничный) день, ему может быть предоставлен другой день отдыха. В этом случае работа в выходной или нерабочий праздничный день оплачивается в одинарном размере, а день отдыха оплате не подлежит.",отгул,faq
688,Как перенести отгул?,"Для проведения отгула сотрудник обращается к непосредственному руководителю, чтобы он создал заявку в Личном кабинете по теме «Отмена/аннулирование мероприятия». После выполнения мероприятия необходимо создать заявку в Личном кабинете в разделе «Отпуска» (https://company-x5.ru/vacations/plan?vp_page=1 ), указав новый период отсутствия.",отгул,faq
689,Как провести отгул?,"Оформление отгула возможно 2 способами: 1. в разделе ""Отпуска"" в левом меню Личного кабинета сотрудника (https://company-x5.ru/vacations/plan?vp_page=1 ); 2. в разделе ""Заявки"", группа ""Отпуск"", плитка ""Отгул (личный кабинет)"". (https://company-x5.ru/requests/tiles/my/)",отгул,faq
690,нужно провести перенос отгула,"Пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку в Личном кабинете по теме «Отмена/аннулирование мероприятия». После выполнения мероприятия Вы сможете создать заявку в Личном кабинете по теме «Отпуска и прочие отсутствия», подтема «Отгул за ранее отработанный выходной или праздничный день», указав новый период отсутствия.",отгул,faq
691,перенести отгул,"Пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку в Личном кабинете по теме «Отмена/аннулирование мероприятия». После выполнения мероприятия Вы сможете создать заявку в Личном кабинете по теме «Отпуска и прочие отсутствия», подтема «Отгул за ранее отработанный выходной или праздничный день», указав новый период отсутствия.",отгул,faq
692,как осуществить перенос отгула,"Пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку в Личном кабинете по теме «Отмена/аннулирование мероприятия». После выполнения мероприятия Вы сможете создать заявку в Личном кабинете по теме «Отпуска и прочие отсутствия», подтема «Отгул за ранее отработанный выходной или праздничный день», указав новый период отсутствия.",отгул,faq
693,как оформить перенесение отгула?,"Пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку в Личном кабинете по теме «Отмена/аннулирование мероприятия». После выполнения мероприятия Вы сможете создать заявку в Личном кабинете по теме «Отпуска и прочие отсутствия», подтема «Отгул за ранее отработанный выходной или праздничный день», указав новый период отсутствия.",отгул,faq
694,мне нужно перенести отгул,"Пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку в Личном кабинете по теме «Отмена/аннулирование мероприятия». После выполнения мероприятия Вы сможете создать заявку в Личном кабинете по теме «Отпуска и прочие отсутствия», подтема «Отгул за ранее отработанный выходной или праздничный день», указав новый период отсутствия.",отгул,faq
695,отменить отпуск без содержания,"Пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку в Личном кабинете по теме «Отмена/аннулирование мероприятия». После выполнения мероприятия Вы сможете создать заявку в Личном кабинете по теме «Отпуска и прочие отсутствия», подтема «Отгул за ранее отработанный выходной или праздничный день», указав новый период отсутствия.",отгул,faq
696,нужна отмена отпуска без оплаты,"Пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку в Личном кабинете по теме «Отмена/аннулирование мероприятия». После выполнения мероприятия Вы сможете создать заявку в Личном кабинете по теме «Отпуска и прочие отсутствия», подтема «Отгул за ранее отработанный выходной или праздничный день», указав новый период отсутствия.",отгул,faq
697,как сделать отмену отпуска без сохранения оплаты,"Пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку в Личном кабинете по теме «Отмена/аннулирование мероприятия». После выполнения мероприятия Вы сможете создать заявку в Личном кабинете по теме «Отпуска и прочие отсутствия», подтема «Отгул за ранее отработанный выходной или праздничный день», указав новый период отсутствия.",отгул,faq
698,У сотрудника не отображается количество отгулов и количество дней отпуска в личном кабинете,"Лимиты в личном кабинете отображаются на основании данных в кадровой системе. В процессе планирования, программа считает дни исходя из имеющихся лимитов и может предоставить дни отпуска авансом. На календарный год программа предоставляет лимит 28 дней. Период, за который накапливаются лимиты в количестве 28 дней, у каждого сотрудника индивидуальный и считается со дня приема в Компанию. За каждый последующий отработанный месяц предоставляется 2.33 дня отпуска. Специалистам HR следует проверить данные в 2001ИТ и в 2006ИТ, а именно сколько дней было запланировано и использовано в текущем году, есть ли неистраченные лимиты, есть ли продленный лимит на будущее. Проверить количество запланированных дней и доступных остатков. Посмотреть расчет отпускных дней отпуска на отчетную дату или на конец года можно через транзакцию ZHRPA036. Так же по существующему алгоритму при планировании отпусков в личном кабинете установлено правило - нельзя планировать более половины всех накопленных дней отпуска в первое полугодие до конца июня. У сотрудника прописано в личном кабинете, что нельзя планировать более 15 дней в первое полугодие.",отгул,faq
699,"В личный кабинет не отображается запланированный отпуск, который ранее был согласован Руководителем","Лимиты в личном кабинете отображаются на основании данных в кадровой системе. В процессе планирования, программа считает дни исходя из имеющихся лимитов и может предоставить дни отпуска авансом. На календарный год программа предоставляет лимит 28 дней. Период, за который накапливаются лимиты в количестве 28 дней, у каждого сотрудника индивидуальный и считается со дня приема в Компанию. За каждый последующий отработанный месяц предоставляется 2.33 дня отпуска. Специалистам HR следует проверить данные в 2001ИТ и в 2006ИТ, а именно сколько дней было запланировано и использовано в текущем году, есть ли неистраченные лимиты, есть ли продленный лимит на будущее. Проверить количество запланированных дней и доступных остатков. Посмотреть расчет отпускных дней отпуска на отчетную дату или на конец года можно через транзакцию ZHRPA036. Так же по существующему алгоритму при планировании отпусков в личном кабинете установлено правило - нельзя планировать более половины всех накопленных дней отпуска в первое полугодие до конца июня. У сотрудника прописано в личном кабинете, что нельзя планировать более 15 дней в первое полугодие.",отгул,faq
700,Пересчитайте лимиты для планирования отпуска,"Лимиты в личном кабинете отображаются на основании данных в кадровой системе. В процессе планирования, программа считает дни исходя из имеющихся лимитов и может предоставить дни отпуска авансом. На календарный год программа предоставляет лимит 28 дней. Период, за который накапливаются лимиты в количестве 28 дней, у каждого сотрудника индивидуальный и считается со дня приема в Компанию. За каждый последующий отработанный месяц предоставляется 2.33 дня отпуска. Специалистам HR следует проверить данные в 2001ИТ и в 2006ИТ, а именно сколько дней было запланировано и использовано в текущем году, есть ли неистраченные лимиты, есть ли продленный лимит на будущее. Проверить количество запланированных дней и доступных остатков. Посмотреть расчет отпускных дней отпуска на отчетную дату или на конец года можно через транзакцию ZHRPA036. Так же по существующему алгоритму при планировании отпусков в личном кабинете установлено правило - нельзя планировать более половины всех накопленных дней отпуска в первое полугодие до конца июня. У сотрудника прописано в личном кабинете, что нельзя планировать более 15 дней в первое полугодие.",отгул,faq
701,На дает запланировать вторую часть отпуска,"Лимиты в личном кабинете отображаются на основании данных в кадровой системе. В процессе планирования, программа считает дни исходя из имеющихся лимитов и может предоставить дни отпуска авансом. На календарный год программа предоставляет лимит 28 дней. Период, за который накапливаются лимиты в количестве 28 дней, у каждого сотрудника индивидуальный и считается со дня приема в Компанию. За каждый последующий отработанный месяц предоставляется 2.33 дня отпуска. Специалистам HR следует проверить данные в 2001ИТ и в 2006ИТ, а именно сколько дней было запланировано и использовано в текущем году, есть ли неистраченные лимиты, есть ли продленный лимит на будущее. Проверить количество запланированных дней и доступных остатков. Посмотреть расчет отпускных дней отпуска на отчетную дату или на конец года можно через транзакцию ZHRPA036. Так же по существующему алгоритму при планировании отпусков в личном кабинете установлено правило - нельзя планировать более половины всех накопленных дней отпуска в первое полугодие до конца июня. У сотрудника прописано в личном кабинете, что нельзя планировать более 15 дней в первое полугодие.",отгул,faq
